x,y
咐,foo6
付,foo6
傅,foo6
鮒,foo6
駙,foo6
魁,fooi1
灰,fooi1
詼,fooi1
恢,fooi1
奎,fooi1
鮪,fooi2
晦,fooi3
誨,fooi3
悔,fooi3
歡,foon1
寬,foon1
髖,foon1
貛,foon1
款,foon2
複,fuk1
腹,fuk1
蝮,fuk1
蝠,fuk1
輻,fuk1
覆,fuk1
福,fuk1
幅,fuk1
馥,fuk1
復,fuk6
袱,fuk6
茯,fuk6
宓,fuk6
風,fung1
烽,fung1
丰,fung1
楓,fung1
峰,fung1
鋒,fung1
蜂,fung1
瘋,fung1
豐,fung1
封,fung1
諷,fung3
逢,fung4
縫,fung4
馮,fung4
鳳,fung6
奉,fung6
俸,fung6
珈,ga1
迦,ga1
家,ga1
枷,ga1
加,ga1
伽,ga1
傢,ga1
嘉,ga1
痂,ga1
鎵,ga1
袈,ga1
架,ga2
尕,ga2
假,ga2
斝,ga2
檟,ga2
賈,ga2
嫁,ga3
駕,ga3
咖,ga3
價,ga3
稼,ga3
皆,gaai1
街,gaai1
偕,gaai1
秸,gaai1
佳,gaai1
階,gaai1
蚧,gaai2
介,gaai3
屆,gaai3
尬,gaai3
界,gaai3
戒,gaai3
芥,gaai3
誡,gaai3
疥,gaai3
膈,gaak3
革,gaak3
格,gaak3
胳,gaak3
嗝,gaak3
鎘,gaak3
骼,gaak3
緘,gaam1
尷,gaam1
減,gaam2
鑑,gaam3
間,gaan1
姦,gaan1
艱,gaan1
奸,gaan1
簡,gaan2
柬,gaan2
鐧,gaan2
鹼,gaan2
繭,gaan2
諫,gaan3
澗,gaan3
耕,gaang1
餄,gaap3
頰,gaap3
甲,gaap3
鉀,gaap3
莢,gaap3
胛,gaap3
郟,gaap3
蛺,gaap3
岬,gaap3
袷,gaap3
茭,gaau1
郊,gaau1
蛟,gaau1
跤,gaau1
佼,gaau2
絞,gaau2
皎,gaau2
狡,gaau2
餃,gaau2
搞,gaau2
窖,gaau3
覺,gaau3
教,gaau3
校,gaau3
酵,gaau3
薊,gai3
髻,gai3
繼,gai3
柑,gam1
今,gam1
甘,gam1
苷,gam1
